TENTATIVE BILLING INQUIRIES,TENTATIVE BILLING/INQUIRIES,TBR,TBP,2,ASSESSMENT,VP
P-CARES,P-CARES,PCR,PCP,2,ASSESSMENT,VP
PHILHEALTH,PHILHEALTH,PR,PP,2,CASHIER,VP
FINAL BILLING,FINAL BILLING,FBR,FBP,2,CASHIER,VP
HMO EMPLOYEE,HMO/EMPLOYEE,HER,HEP,2,CASHIER,VP
CASHIER,CASHIER,CR,CP,2,HARBOR,VP
HEMATOLOGY,HEMATOLOGY,RCWO,PCWO,2,CWO,VP
TRIAGE,TRIAGE,ON,ONS,2,CWO,VP
ASSESSMENT2,ASSESSMENT2,RAST2,PAST2,2,ASSESSMENT,VP
CASHIER2,CASHIER2,RAMT2,PAMT2,2,ASSESSMENT,VP
DRUG TEST2,DRUG TEST2,RVCC2,PVCC2,2,CASHIER,VP
PHARMACY2,PHARMACY2,RVCA2,PVCA2,2,CASHIER,VP
GENERAL MEDICINE2,GENERAL MEDICINE2,RC2,PC2,2,CASHIER,VP
BLOOD CHEMISTRY2,BLOOD CHEMISTRY2,RHO2,PHO2,2,HARBOR,VP
HEMATOLOGY2,HEMATOLOGY2,RCWO2,PCWO2,2,CWO,VP
ASSESSMENT3,ASSESSMENT3,RAST3,PAST3,2,ASSESSMENT,VP
